Order No,Order Type,Entry Type,Order Date,Config ID,Is MTO,Createts,Draft Order Flag
341350868988,PHONEORDER_G_CA,CCA,2024-05-14 10:40:12,2727599-V1-CP-54,null,2024-05-14 10:40:12,Y
341350940514,PHONEORDER,CCA,2024-05-14 14:34:23,1967776-V1-TW-36,null,2024-05-14 14:34:25,Y
341352731978,PHONEORDER,CCA,2024-05-14 10:42:31,9087720-V1-OB-30,Y,2024-05-14 10:42:43,Y
341353010901,PHONEORDER,CCA,2024-05-14 07:53:59,1336180-V1-CP-30-3846633,Y,2024-05-14 07:54:27,Y
341353010901,PHONEORDER,CCA,2024-05-14 07:53:59,441276-V1-CP-33-6402095,Y,2024-05-14 07:54:27,Y
341353010901,PHONEORDER,CCA,2024-05-14 07:53:59,7637801-V1-CP-36,Y,2024-05-14 07:54:27,Y
341353010901,PHONEORDER,CCA,2024-05-14 07:53:59,8933295-V1-PN-8066786,Y,2024-05-14 07:54:27,Y
341353790759,PHONEORDER,CCA,2024-05-14 09:32:27,8485574-V1-BA-9999296,Y,2024-05-14 09:32:45,Y
341360037707,PHONEORDER,CCA,2024-05-15 14:47:28,2487376-V1-PN-25,null,2024-05-15 14:47:31,Y
341360255341,PHONEORDER,CCA,2024-05-15 07:43:08,7836252-V1-OB-3245069,null,2024-05-15 07:43:09,Y
341360314627,PHONEORDER,CCA,2024-05-15 07:51:49,2817796-V1-60-6129243,null,2024-05-15 07:51:49,Y
341360314627,PHONEORDER,CCA,2024-05-15 07:51:49,2817796-V1-72-3247748,null,2024-05-15 07:51:49,Y
341360568560,PHONEORDER,CCA,2024-05-15 15:11:16,2487376-V1-PN-25,null,2024-05-15 15:11:16,Y
341360675126,PHONEORDER,CCA,2024-05-15 14:41:50,2487376-V1-PN-25,null,2024-05-15 14:41:50,Y
341360736233,PHONEORDER,CCA,2024-05-15 15:01:10,2487376-V1-PN-25,null,2024-05-15 15:01:10,Y
341360765224,PHONEORDER,CCA,2024-05-15 07:00:34,7836252-V1-OB-3245069,null,2024-05-15 07:00:34,Y
341360779241,PHONEORDER,CCA,2024-05-15 14:16:27,429229-V1-OB-36,null,2024-05-15 14:16:27,Y
341360816092,PHONEORDER,CCA,2024-05-15 07:42:22,7836252-V1-OB-3245069,null,2024-05-15 07:48:32,Y
